"Codigo_Cliente","Fecha","Monto_Moneda_Local","Monto_Moneda_Extranjera","Mes","Year","Codigo_de_Producto","Cuotas_Pagadas","Cuotas_Devengadas","Cuontas_Restantes","Aclaracion"
"35881","9/9/2021",37.1,5.33045977,9,2021,150003,65,8,287,
"100179","9/30/2021",37.1,5.33045977,9,2021,150003,1,6,353,PLAN DE REGULARIZACION A
"37539","9/3/2021",37.1,5.33045977,9,2021,150003,1,69,290,PLAN DE REGULARIZACION A
"39741","9/1/2021",37.1,5.33045977,9,2021,150003,23,19,318,
"37781","9/19/2021",37.1,5.33045977,9,2021,150003,29,35,296,
"41710","9/13/2021",37.1,5.33045977,9,2021,150003,10,30,320,
"98788","9/27/2021",37.1,5.33045977,9,2021,150003,64,149,147,
"38146","9/13/2021",37.1,5.33045977,9,2021,150003,15,45,300,
"22664","9/23/2021",37.1,5.33045977,9,2021,150003,1,136,223,
"18694","9/19/2021",37.1,5.33045977,9,2021,150003,139,35,186,
"47849","9/28/2021",37.1,5.33045977,9,2021,150003,9,3,348,
"39118","9/2/2021",37.1,5.33045977,9,2021,150003,35,11,314,
"25708","9/30/2021",37.1,5.33045977,9,2021,150003,121,23,216,
"20147","9/3/2021",37.1,5.33045977,9,2021,150003,80,125,155,
"36538","9/16/2021",37.1,5.33045977,9,2021,150003,110,11,239,
"26025","9/4/2021",37.1,5.33045977,9,2021,150003,18,109,233,
"36735","9/14/2021",37.1,5.33045977,9,2021,150003,49,11,300,
"44089","9/29/2021",37.1,5.33045977,9,2021,150003,12,10,338,PLAN DE REGULARIZACION A
"42136","9/15/2021",37.1,5.33045977,9,2021,150003,35,7,318,
"24723","9/27/2021",37.1,5.33045977,9,2021,150003,78,44,238,
"13288","9/16/2021",37.1,5.33045977,9,2021,150003,32,209,119,PLAN DE REGULARIZACION B
"4698","9/11/2016",37.1,5.33045977,9,2016,150003,344,16,0,
"32247","9/18/2021",37.1,5.33045977,9,2021,150003,3,72,285,
"5232","9/10/2020",37.1,5.33045977,9,2020,150003,12,348,0,
"14945","9/3/2021",37.1,5.33045977,9,2021,150003,7,203,150,
"40800","9/21/2021",37.1,5.33045977,9,2021,150003,26,22,312,
"22145","9/9/2021",37.1,5.33045977,9,2021,150003,61,131,168,
"10598","9/29/2021",37.1,5.33045977,9,2021,150003,83,4,273,PLAN DE REGULARIZACION A
"15218","9/11/2021",37.1,5.33045977,9,2021,150003,12,192,156,
"29223","9/19/2021",37.1,5.33045977,9,2021,150003,9,84,267,PLAN DE REGULARIZACION B
"5915","9/30/2021",37.1,5.33045977,9,2021,150003,323,26,11,
"453","9/25/1985",37.1,5.33045977,9,1985,150003,0,360,0,
"43397","9/26/2021",37.1,5.33045977,9,2021,150003,5,23,332,
"32986","9/26/2021",37.1,5.33045977,9,2021,150003,23,48,289,
"19660","9/9/2021",37.1,5.33045977,9,2021,150003,162,7,191,
"43653","9/21/2021",37.1,5.33045977,9,2021,150003,3,45,312,PLAN DE REGULARIZACION B
"20275","9/22/2021",37.1,5.33045977,9,2021,150003,15,144,201,
"23867","9/1/2021",37.1,5.33045977,9,2021,150003,132,9,219,
"32850","9/24/2021",37.1,5.33045977,9,2021,150003,24,70,266,
"31815","9/7/2021",37.1,5.33045977,9,2021,150003,17,75,268,
"30189","9/17/2021",37.1,5.33045977,9,2021,150003,3,31,326,PLAN DE REGULARIZACION A
"45041","9/5/2021",37.1,5.33045977,9,2021,150003,10,6,344,
"37877","9/27/2021",37.1,5.33045977,9,2021,150003,15,58,287,PLAN DE REGULARIZACION A
"20708","9/25/2021",37.1,5.33045977,9,2021,150003,8,156,196,
"30686","9/24/2021",37.1,5.33045977,9,2021,150003,71,11,278,
"33318","9/12/2020",37.1,5.33045977,9,2020,150003,61,36,263,PLAN DE REGULARIZACION B
"37727","9/8/2021",37.1,5.33045977,9,2021,150003,13,146,201,PLAN DE REGULARIZACION A
"24297","9/25/2021",37.1,5.33045977,9,2021,150003,47,96,217,
"18872","9/6/2021",37.1,5.33045977,9,2021,150003,166,5,189,
"7423","9/8/2021",37.1,5.33045977,9,2021,150003,96,216,48,
"37829","9/8/2021",37.1,5.33045977,9,2021,150003,11,46,303,
"20799","9/25/2021",37.1,5.33045977,9,2021,150003,0,164,196,
"25934","9/15/2021",37.1,5.33045977,9,2021,150003,27,85,248,
"37611","9/6/2021",37.1,5.33045977,9,2021,150003,30,223,107,PLAN DE REGULARIZACION B
"11638","9/12/2021",37.1,5.33045977,9,2021,150003,12,228,120,
"41244","9/18/2021",37.1,5.33045977,9,2021,150003,3,32,325,
"46064","9/5/2021",37.1,5.33045977,9,2021,150003,6,10,344,
"21434","9/15/2021",37.1,5.33045977,9,2021,150003,39,25,296,PLAN DE REGULARIZACION A
"97891","5/3/2021",37.1,5.33045977,5,2021,150003,51,7,302,
"97891","9/3/2021",18.55,2.665229885,9,2021,150003,51,7,302,
"5276","9/5/2021",37.1,5.33045977,9,2021,150003,140,231,-11,
"38493","9/4/2021",37.1,5.33045977,9,2021,150003,2,136,222,
"2794","9/7/2009",37.1,5.33045977,9,2009,150003,0,360,0,
IEX-95325,"9/15/2012",37.1,5.33045977,9,2012,150003,0,360,0,
"10327","9/1/2021",37.1,5.33045977,9,2021,150003,233,14,113,
"22519","9/9/2021",37.1,5.33045977,9,2021,150003,145,5,210,
"32430","9/15/2021",37.1,5.33045977,9,2021,150003,71,17,272,
"27809","9/27/2021",37.1,5.33045977,9,2021,150003,3,97,260,
"41617","9/13/2021",37.1,5.33045977,9,2021,150003,9,31,320,
"13361","9/17/2021",37.1,5.33045977,9,2021,150003,192,25,143,PLAN DE REGULARIZACION B
"40873","9/12/2021",37.1,5.33045977,9,2021,150003,3,33,324,
"2922","9/15/2005",37.1,5.33045977,9,2005,150003,230,130,0,
"8040","9/19/2021",37.1,5.33045977,9,2021,150003,1,276,83,
"36054","9/8/2021",37.1,5.33045977,9,2021,150003,21,87,252,PLAN DE REGULARIZACION B
"9590","9/27/2021",37.1,5.33045977,9,2021,150003,42,216,102,
"39693","9/9/2021",37.1,5.33045977,9,2021,150003,38,10,312,
"43605","9/30/2021",37.1,5.33045977,9,2021,150003,37,12,311,PLAN DE REGULARIZACION B
"21229","9/9/2021",37.1,5.33045977,9,2021,150003,170,22,168,
"28075","9/5/2021",37.1,5.33045977,9,2021,150003,30,71,259,
"4535","9/10/2018",37.1,5.33045977,9,2018,150003,202,158,0,
"15966","9/15/2021",37.1,5.33045977,9,2021,150003,0,252,108,
"27436","9/5/2021",37.1,5.33045977,9,2021,150003,4,97,259,
"35365","9/27/2021",37.1,5.33045977,9,2021,150003,52,11,297,
"38425","9/29/2021",37.1,5.33045977,9,2021,150003,4,44,312,
"42706","9/21/2021",37.1,5.33045977,9,2021,150003,14,26,320,
"42061","9/15/2021",37.1,5.33045977,9,2021,150003,24,22,314,
"96691","9/14/2021",37.1,5.33045977,9,2021,150003,22,95,243,
"39940","9/22/2021",37.1,5.33045977,9,2021,150003,15,37,308,
"96675","9/24/2021",37.1,5.33045977,9,2021,150003,14,108,238,
"39150","9/7/2021",37.1,5.33045977,9,2021,150003,18,105,237,PLAN DE REGULARIZACION B
"41053","9/19/2021",37.1,5.33045977,9,2021,150003,24,13,323,
"23592","9/15/2021",37.1,5.33045977,9,2021,150003,0,130,230,
"26089","9/1/2021",37.1,5.33045977,9,2021,150003,4,108,248,
"16028","9/10/2021",37.1,5.33045977,9,2021,150003,2,203,155,
"10062","9/4/2021",37.1,5.33045977,9,2021,150003,220,32,108,
"24272","9/29/2021",37.1,5.33045977,9,2021,150003,141,6,213,
"98392","9/2/2021",37.1,5.33045977,9,2021,150003,2,212,146,
"670","9/9/1979",37.1,5.33045977,9,1979,150003,0,360,0,
"19931","9/19/2021",37.1,5.33045977,9,2021,150003,0,162,198,
"28263","9/20/2021",37.1,5.33045977,9,2021,150003,74,23,263,
"12045","9/2/2021",37.1,5.33045977,9,2021,150003,71,176,113,PLAN DE REGULARIZACION B
"16427","9/8/2021",37.1,5.33045977,9,2021,150003,0,209,151,
"2348","9/20/2005",37.1,5.33045977,9,2005,150003,216,144,0,
"2372","9/29/2009",37.1,5.33045977,9,2009,150003,206,154,0,
"4732","9/20/2018",37.1,5.33045977,9,2018,150003,121,239,0,PLAN DE REGULARIZACION A
"4609","9/12/2017",37.1,5.33045977,9,2017,150003,109,251,0,PLAN DE REGULARIZACION A
"26921","9/29/2021",37.1,5.33045977,9,2021,150003,72,56,232,
"36073","9/9/2021",37.1,5.33045977,9,2021,150003,12,190,158,PLAN DE REGULARIZACION A
"13188","9/6/2021",37.1,5.33045977,9,2021,150003,169,56,135,
"38548","9/6/2021",37.1,5.33045977,9,2021,150003,12,34,314,PLAN DE REGULARIZACION B
"41383","9/4/2021",37.1,5.33045977,9,2021,150003,2,32,326,
"29078","9/10/2021",37.1,5.33045977,9,2021,150003,46,44,270,PLAN DE REGULARIZACION P
"11093","9/13/2021",37.1,5.33045977,9,2021,150003,1,239,120,
"18195","9/30/2021",37.1,5.33045977,9,2021,150003,4,180,176,
"37284","9/30/2021",37.1,5.33045977,9,2021,150003,32,23,305,
"5431","9/17/2021",37.1,5.33045977,9,2021,150003,134,237,-11,
"35543","9/21/2021",37.1,5.33045977,9,2021,150003,0,253,107,
"2260","9/21/2006",37.1,5.33045977,9,2006,150003,0,360,0,
"2487","9/28/2009",37.1,5.33045977,9,2009,150003,208,152,0,
"41862","9/22/2021",37.1,5.33045977,9,2021,150003,23,11,326,
"24006","9/20/2021",37.1,5.33045977,9,2021,150003,57,132,171,
"34305","9/20/2021",37.1,5.33045977,9,2021,150003,19,48,293,
"23298","9/28/2021",37.1,5.33045977,9,2021,150003,103,34,223,PLAN DE REGULARIZACION P
"15390","9/3/2021",37.1,5.33045977,9,2021,150003,37,228,95,
"46265","9/3/2021",37.1,5.33045977,9,2021,150003,12,9,339,
"26307","9/3/2021",37.1,5.33045977,9,2021,150003,28,93,239,
"44096","9/27/2021",37.1,5.33045977,9,2021,150003,20,96,244,PLAN DE REGULARIZACION B
"4747","9/24/2018",37.1,5.33045977,9,2018,150003,108,252,0,
"7631","9/9/2021",37.1,5.33045977,9,2021,150003,195,147,18,PLAN DE REGULARIZACION C
"39694","9/2/2021",37.1,5.33045977,9,2021,150003,4,39,317,
"43712","9/5/2021",37.1,5.33045977,9,2021,150003,12,22,326,
"26500","9/13/2021",37.1,5.33045977,9,2021,150003,28,106,226,
"4271","9/29/2017",37.1,5.33045977,9,2017,150003,265,95,0,
"2157","9/4/2007",37.1,5.33045977,9,2007,150003,0,360,0,
"7910","9/14/2021",37.1,5.33045977,9,2021,150003,271,10,79,
"590","9/21/1964",37.1,5.33045977,9,1964,150003,233,128,-1,
"41345","9/25/2021",37.1,5.33045977,9,2021,150003,3,32,325,
"18242","9/10/2021",37.1,5.33045977,9,2021,150003,29,179,152,
"14944","9/19/2021",37.1,5.33045977,9,2021,150003,198,36,126,
"5091","9/12/2020",37.1,5.33045977,9,2020,150003,236,124,0,PLAN DE REGULARIZACION B
"17239","9/10/2021",37.1,5.33045977,9,2021,150003,164,23,173,
"23240","9/7/2021",37.1,5.33045977,9,2021,150003,7,131,222,
"37023","9/14/2021",37.1,5.33045977,9,2021,150003,14,115,231,PLAN DE REGULARIZACION A
"13863","9/26/2021",37.1,5.33045977,9,2021,150003,0,214,146,
"12591","9/29/2021",37.1,5.33045977,9,2021,150003,121,114,125,
"19619","9/21/2021",37.1,5.33045977,9,2021,150003,3,164,193,
"36144","9/12/2021",37.1,5.33045977,9,2021,150003,1,72,287,PLAN DE REGULARIZACION A
"40429","9/12/2021",37.1,5.33045977,9,2021,150003,6,93,261,PLAN DE REGULARIZACION B
"27513","9/5/2018",37.1,5.33045977,9,2018,150003,12,89,259,
"13884","9/16/2021",37.1,5.33045977,9,2021,150003,0,214,146,
"40866","9/4/2021",37.1,5.33045977,9,2021,150003,14,33,313,
"36412","9/2/2021",37.1,5.33045977,9,2021,150003,64,48,248,
"46981","9/24/2021",37.1,5.33045977,9,2021,150003,1,7,352,PLAN DE REGULARIZACION A
"6316","9/30/2021",37.1,5.33045977,9,2021,150003,255,5,100,PLAN DE REGULARIZACION A
"3117","9/7/2011",37.1,5.33045977,9,2011,150003,0,360,0,
"38510","9/22/2021",37.1,5.33045977,9,2021,150003,17,35,308,
"20218","9/2/2021",37.1,5.33045977,9,2021,150003,39,120,201,PLAN DE REGULARIZACION B
"9735","11/10/2021",37.1,5.33045977,11,2021,150003,290,1,69,
"19252","9/22/2021",37.1,5.33045977,9,2021,150003,46,131,183,PLAN DE REGULARIZACION B
"21632","9/3/2021",37.1,5.33045977,9,2021,150003,0,219,141,
"27519","9/26/2021",37.1,5.33045977,9,2021,150003,86,90,184,
"20076","9/18/2021",37.1,5.33045977,9,2021,150003,0,162,198,
"16314","9/25/2021",37.1,5.33045977,9,2021,150003,1,216,143,
"4419","9/11/2017",37.1,5.33045977,9,2017,150003,96,264,0,
"1868","9/25/2005",37.1,5.33045977,9,2005,150003,285,76,-1,
"46343","9/28/2021",37.1,5.33045977,9,2021,150003,4,8,348,
"13669","9/30/2021",37.1,5.33045977,9,2021,150003,6,209,145,
"16809","9/28/2021",37.1,5.33045977,9,2021,150003,0,191,169,
"2434","9/16/2009",37.1,5.33045977,9,2009,150003,152,208,0,
"17705","9/24/2021",37.1,5.33045977,9,2021,150003,17,167,176,PLAN DE REGULARIZACION B
"4375","9/17/2017",37.1,5.33045977,9,2017,150003,270,90,0,
"19528","9/11/2021",37.1,5.33045977,9,2021,150003,0,175,185,
"34457","9/9/2021",37.1,5.33045977,9,2021,150003,43,23,294,
"98604","9/18/2021",37.1,5.33045977,9,2021,150003,25,179,156,
"26448","9/17/2021",37.1,5.33045977,9,2021,150003,19,108,233,
"35319","9/12/2021",37.1,5.33045977,9,2021,150003,2,58,300,
"16918","9/14/2021",37.1,5.33045977,9,2021,150003,41,151,168,
"44193","9/8/2021",37.1,5.33045977,9,2021,150003,17,21,322,
"37024","9/11/2021",37.1,5.33045977,9,2021,150003,9,47,304,
"32242","9/21/2021",37.1,5.33045977,9,2021,150003,138,10,212,
"41057","9/12/2021",37.1,5.33045977,9,2021,150003,4,33,323,
"18908","9/12/2021",37.1,5.33045977,9,2021,150003,0,171,189,
"31364","9/1/2021",37.1,5.33045977,9,2021,150003,70,35,255,
"37602","9/16/2021",37.1,5.33045977,9,2021,150003,7,226,127,PLAN DE REGULARIZACION A
"13972","9/17/2021",37.1,5.33045977,9,2021,150003,48,205,107,
"6964","9/25/2021",37.1,5.33045977,9,2021,150003,169,148,43,PLAN DE REGULARIZACION C
"1387","9/25/2003",37.1,5.33045977,9,2003,150003,79,281,0,
"1651","9/14/2005",37.1,5.33045977,9,2005,150003,132,228,0,
"41557","9/30/2021",37.1,5.33045977,9,2021,150003,6,31,323,
"23757","9/13/2021",37.1,5.33045977,9,2021,150003,101,50,209,
"27854","9/12/2021",37.1,5.33045977,9,2021,150003,102,6,252,
"30115","9/10/2021",37.1,5.33045977,9,2021,150003,64,84,212,
"3665","9/15/2014",37.1,5.33045977,9,2014,150003,347,13,0,
"21561","9/30/2021",37.1,5.33045977,9,2021,150003,116,34,210,PLAN DE REGULARIZACION B
"12569","9/11/2021",37.1,5.33045977,9,2021,150003,31,216,113,
"12239","9/13/2021",37.1,5.33045977,9,2021,150003,1,227,132,
"18788","9/6/2021",37.1,5.33045977,9,2021,150003,153,20,187,
"28484","9/26/2021",37.1,5.33045977,9,2021,150003,190,7,163,
T1519,"9/14/2021",37.1,5.33045977,9,2021,150003,0,360,0,
"7378","9/22/2021",37.1,5.33045977,9,2021,150003,31,270,59,
"45127","9/25/2021",37.1,5.33045977,9,2021,150003,3,13,344,
"7377","9/30/2021",37.1,5.33045977,9,2021,150003,67,228,65,
"96692","9/15/2021",37.1,5.33045977,9,2021,150003,46,88,226,
"44195","9/19/2021",37.1,5.33045977,9,2021,150003,31,21,308,
"32090","9/13/2021",37.1,5.33045977,9,2021,150003,13,70,277,
"1215","9/3/2000",37.1,5.33045977,9,2000,150003,72,288,0,
"32877","9/27/2021",37.1,5.33045977,9,2021,150003,54,15,291,
"2597","9/28/2010",37.1,5.33045977,9,2010,150003,0,360,0,
"9573","9/4/2021",37.1,5.33045977,9,2021,150003,92,190,78,
"14486","9/24/2021",37.1,5.33045977,9,2021,150003,28,198,134,
"7927","9/21/2021",37.1,5.33045977,9,2021,150003,48,287,25,
"25008","9/30/2021",37.1,5.33045977,9,2021,150003,108,11,241,
"41625","9/6/2021",37.1,5.33045977,9,2021,150003,7,26,327,
"39887","9/25/2021",37.1,5.33045977,9,2021,150003,4,38,318,
"35428","9/27/2021",37.1,5.33045977,9,2021,150003,18,45,297,
"43657","9/3/2021",37.1,5.33045977,9,2021,150003,2,22,336,
"41431","9/21/2021",37.1,5.33045977,9,2021,150003,46,34,280,
"3555","9/28/2007",37.1,5.33045977,9,2007,150003,0,360,0,
"23804","9/28/2021",37.1,5.33045977,9,2021,150003,198,63,99,
"4459","9/28/2015",37.1,5.33045977,9,2015,150003,180,180,0,
"21439","9/22/2021",37.1,5.33045977,9,2021,150003,15,135,210,PLAN DE REGULARIZACION B
"35160","9/8/2021",37.1,5.33045977,9,2021,150003,55,9,296,
"34613","9/2/2021",37.1,5.33045977,9,2021,150003,49,35,276,
"98564","9/15/2021",37.1,5.33045977,9,2021,150003,0,240,120,
"24551","9/28/2021",37.1,5.33045977,9,2021,150003,0,147,213,
"6107","9/22/2021",37.1,5.33045977,9,2021,150003,228,122,10,
"2546","9/27/2007",37.1,5.33045977,9,2007,150003,160,200,0,
"29129","9/20/2021",37.1,5.33045977,9,2021,150003,55,50,255,
"98893","9/23/2021",37.1,5.33045977,9,2021,150003,7,156,197,
"16341","9/19/2021",37.1,5.33045977,9,2021,150003,55,144,161,
"5301","9/5/2021",37.1,5.33045977,9,2021,150003,84,276,0,
"6100","9/23/2019",37.1,5.33045977,9,2019,150003,12,348,0,
"99076","9/24/2021",37.1,5.33045977,9,2021,150003,38,97,225,
"14894","9/4/2021",37.1,5.33045977,9,2021,150003,27,181,152,PLAN DE REGULARIZACION B
"42634","9/12/2021",37.1,5.33045977,9,2021,150003,65,185,110,PLAN DE REGULARIZACION C
"28315","9/2/2021",37.1,5.33045977,9,2021,150003,49,89,222,
"24304","9/9/2021",37.1,5.33045977,9,2021,150003,45,87,228,
"14898","9/25/2021",37.1,5.33045977,9,2021,150003,28,192,140,
"14143","9/9/2021",37.1,5.33045977,9,2021,150003,6,210,144,
"7755","9/1/2021",37.1,5.33045977,9,2021,150003,60,275,25,
"1820","9/30/2003",37.1,5.33045977,9,2003,150003,310,74,-24,
"891","9/8/2000",37.1,5.33045977,9,2000,150003,120,240,0,
"13788","9/2/2021",37.1,5.33045977,9,2021,150003,0,214,146,
"7373","9/26/2021",37.1,5.33045977,9,2021,150003,60,239,61,
"8427","9/28/2021",37.1,5.33045977,9,2021,150003,12,263,85,
"38484","9/4/2021",37.1,5.33045977,9,2021,150003,3,44,313,
"41060","9/11/2021",37.1,5.33045977,9,2021,150003,23,33,304,
"99614","9/1/2021",37.1,5.33045977,9,2021,150003,22,35,303,
"23618","9/13/2021",37.1,5.33045977,9,2021,150003,0,132,228,
"32998","9/25/2021",37.1,5.33045977,9,2021,150003,1,69,290,
"28313","9/1/2021",37.1,5.33045977,9,2021,150003,8,92,260,
"99031","9/30/2021",37.1,5.33045977,9,2021,150003,37,126,197,
"37080","9/11/2021",37.1,5.33045977,9,2021,150003,7,46,307,
"12911","9/3/2021",37.1,5.33045977,9,2021,150003,0,351,9,
"99064","9/17/2021",37.1,5.33045977,9,2021,150003,12,120,228,
"32541","9/24/2021",37.1,5.33045977,9,2021,150003,220,6,134,
"46516","9/6/2021",37.1,5.33045977,9,2021,150003,6,8,346,
"10153","9/1/2021",37.1,5.33045977,9,2021,150003,243,20,97,
"37492","9/16/2021",37.1,5.33045977,9,2021,150003,115,5,240,
"99032","9/30/2021",37.1,5.33045977,9,2021,150003,120,35,205,
"11865","9/10/2021",37.1,5.33045977,9,2021,150003,24,209,127,
"17568","9/14/2021",37.1,5.33045977,9,2021,150003,56,130,174,
"31995","9/15/2021",37.1,5.33045977,9,2021,150003,36,89,235,
"34620","9/22/2021",37.1,5.33045977,9,2021,150003,39,171,150,
"6055","9/30/2021",37.1,5.33045977,9,2021,150003,12,335,13,
"22520","9/24/2021",37.1,5.33045977,9,2021,150003,0,139,221,
"28863","9/24/2021",37.1,5.33045977,9,2021,150003,3,96,261,
"25965","9/12/2021",37.1,5.33045977,9,2021,150003,32,92,236,
"11582","9/10/2020",37.1,5.33045977,9,2020,150003,148,95,117,PLAN DE REGULARIZACION B
"32391","9/12/2021",37.1,5.33045977,9,2021,150003,80,28,252,PLAN DE REGULARIZACION A
"36871","9/14/2021",37.1,5.33045977,9,2021,150003,16,44,300,
"99526","9/30/2021",37.1,5.33045977,9,2021,150003,81,11,268,
"16949","9/30/2021",37.1,5.33045977,9,2021,150003,45,220,95,
"1072","11/23/2000",37.1,5.33045977,11,2000,150003,358,2,0,
"3745","9/10/1993",37.1,5.33045977,9,1993,150003,240,120,0,
"1794","9/28/2004",37.1,5.33045977,9,2004,150003,0,360,0,
"23243","9/26/2021",37.1,5.33045977,9,2021,150003,40,102,218,
"19720","9/20/2021",37.1,5.33045977,9,2021,150003,158,5,197,
"11215","9/15/2021",37.1,5.33045977,9,2021,150003,3,237,120,
"33167","9/11/2021",37.1,5.33045977,9,2021,150003,11,68,281,
"8100","9/8/2021",37.1,5.33045977,9,2021,150003,131,156,73,PLAN DE REGULARIZACION C
"48524","11/9/2021",37.1,5.33045977,11,2021,150003,3,1,356,
"22225","9/21/2021",37.1,5.33045977,9,2021,150003,0,160,200,
"2709","9/24/2010",37.1,5.33045977,9,2010,150003,0,360,0,
"46726","11/7/2021",37.1,5.33045977,11,2021,150003,6,2,352,PLAN DE REGULARIZACION A
"17409","9/7/2021",37.1,5.33045977,9,2021,150003,30,210,120,PLAN DE REGULARIZACION A
"41038","9/14/2021",37.1,5.33045977,9,2021,150003,36,10,314,
"18981","9/27/2021",37.1,5.33045977,9,2021,150003,0,254,106,
"6845","9/28/2021",37.1,5.33045977,9,2021,150003,299,11,50,
"20716","9/7/2021",37.1,5.33045977,9,2021,150003,5,152,203,
"41387","9/4/2021",37.1,5.33045977,9,2021,150003,28,6,326,
"28707","9/23/2021",37.1,5.33045977,9,2021,150003,23,114,223,
"11373","9/2/2021",37.1,5.33045977,9,2021,150003,131,105,124,
"39874","9/22/2021",37.1,5.33045977,9,2021,150003,14,38,308,
"19244","9/12/2021",37.1,5.33045977,9,2021,150003,150,16,194,
